Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Bar La Piazza;Acquasparta;Piazza Federico Cesi, 12;N/A;;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00
Antico Caffè Loreti;Acquasparta;Corso Umberto I, 1/3;0744 943660;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 23:00;07:00 - 23:00
BAR L'ANGOLO DEL CAFFE;Acquasparta;Via Giuseppe Mazzini, 46;389 785 6284;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Bar Romacafè;Acquasparta;SS3bis, km 13;0744 941983;24H;24H;24H;24H;24H;24H;24H
Café des Amis;Acquasparta;Via Guglielmo Marconi, 40;N/A;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Red Point;Allerona;Largo Michelangelo Buonarroti, 1;0763 624294;06:00 - 01:00;06:00 - 01:00;;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Bar Red Point;Allerona;Via della Stazione, 8, Stazione di;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Zanzibar Morris Di Morris Andrea Nicola & C. Snc;Allerona;Via di Orvieto, 11, Stazione di;0763 624603;;05:30 - 21:00;05:30 - 21:30;05:30 - 21:00;05:30 - 00:00;05:30 - 00:00;06:00 - 21:00
Borgo Antico Bar;Allerona;Via Centrale, 70;0763 628355;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 01:00;07:00 - 23:30
Bar Sepi;Alviano;Piazza Padre F. Schiaroli, 5A;0744 904666;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00
Caffe' Fuori Porta;Amelia;Piazza XXI Settembre, 16;0744 983906;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00;05:30 - 02:00
Caffè Roma;Amelia;Via Roma - Strada Statale 205, 135;348 035 9705;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
Cafè valsal;Amelia;SP85;N/A;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 13:00, 14:30 - 20:00
Linda bar;Amelia;Via Roma, 135;0744 666114;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;
Bar Rimembranze;Amelia;Via Rimembranze, 30;N/A;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30;06:00 - 13:30
Bar degli angeli;Amelia;Via della Libertà, 13, Fornole TR;0744 989579;;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;07:00 - 00:00
Artic Bar;Amelia;Piazza Giacomo Matteotti, 73a;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Sciarrini mario;Amelia;Via Rimembranze, 51;0744 978565;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 18:30;05:30 - 12:00
Bar All'Isola;Arrone;Vocabolo Isola, 15/A, Casteldilago TR;0744 388840;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00
Bar Arrone - Fuori Orario;Arrone;Piazza Garibaldi, 9;347 271 6449;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;07:00 - 01:00
Flo' Bar S.N.C. Di De Dominicis Teresa & C.;Arrone;Piazza Garibaldi, 23;0744 388669;ND;ND;ND;ND;ND;ND;ND
Titty Bar;Attigliano;Via del Cimitero;0744 992579;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00
IQOS PARTNER - Faziani Snack Bar, Attigliano;Attigliano;Piazza Guglielmo Marconi, 1;0744 992754;05:45 - 22:00;05:45 - 22:00;05:45 - 22:00;05:45 - 22:00;05:45 - 22:00;05:45 - 22:00;05:45 - 14:00
Ni.Ta srls;Attigliano;Via Monserrato, 22;N/A;ND;ND;ND;ND;ND;ND;ND
Caffe Matteotti Sas Di Pinto Federica & C.;Avigliano Umbro;Via Giacomo Matteotti, 8;0744 933292;;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Caffe' Point;Avigliano Umbro;Vocabolo Rena, 85;0744 933148;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;
Bar Capriccio;Avigliano Umbro;Via Sottomuro;0744 933365;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00
DesCafe';Baschi;Via dell'Industria;0744 957253;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00
Bar Antonelli SNC di Antonelli Marino & C.;Baschi;Via Amelia, 2;347 019 9385;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00
Bar Gelateria Proietti;Calvi dell'Umbria;Via Narnese;388 831 8482;;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:30 - 21:00;07:00 - 13:00, 15:00 - 21:00
Venti3;Calvi dell'Umbria;Via Roma, 9;334 383 0787;;;;;19:00 - 02:00;18:00 - 02:00;18:00 - 00:00
Bar Asterix;Castel Giorgio;Via Guglielmo Marconi, 6;0763 627997;;06:15 - 03:00;06:15 - 03:00;06:15 - 03:00;06:15 - 03:00;06:15 - 03:00;06:30 - 00:00
Tiracorrendo / Leopoldo;Castel Viscardo;Corso Umberto I, 28;0763 552694;;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 02:00;06:00 - 03:00;06:00 - 01:00
Music Box;Castel Viscardo;Via Italia;0763 552694;;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 02:00;07:00 - 02:00;07:00 - 23:00
Violet Bar;Castel Viscardo;Corso Umberto I, 2A;0763 361759;06:30 - 22:00;;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00
Bar Congelato;Fabro;Via Vittorio Emanuele, 4d;329 927 1280;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Il Vecchio Battistero;Fabro;Via Castello del, 21;0763 831117;ND;ND;ND;ND;ND;ND;ND
Black's Bar;Fabro;Piazza Carlo Alberto, 18;380 291 5948;07:00 - 20:00;07:00 - 20:00;;07:00 - 20:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
Bar Tabacchi Conti Arianna;Ferentillo;Piazza Vittorio Emanuele II, 12;0744 780189;;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30
Filipponi Sabrina;Ferentillo;Via della Vittoria, 20;0744 380026;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00
Bar Lucky Luke;Ferentillo;Via Emilia, 4;N/A;07:00 - 21:30;07:30 - 22:00;07:00 - 21:30;07:00 - 21:30;07:00 - 21:30;07:30 - 22:00;07:30 - 22:00
Caffè la Rocca;Ficulle;Via Roma, 13;327 971 0953;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 01:30;06:00 - 01:30;06:00 - 00:00
Caffe' Mati di Santirosi Alessio;Giove;Via Gilles Villeneuve, 1;0744 992277;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Babilonia Cafe';Giove;Piazza Germano del Mastro, 10, Campo di;338 219 6406;05:00 - 23:00;03:00 - 23:00;03:00 - 23:00;;15:00 - 02:00;12:00 - 02:00;12:00 - 23:00
Bar Terraza Belvedere;Giove;Via Armando Diaz;N/A;;16:00 - 01:00;16:00 - 01:00;16:00 - 01:00;16:00 - 01:00;16:00 - 01:00;16:00 - 01:00
7000 caffè;Giove;SP31;N/A;ND;ND;ND;ND;ND;ND;ND
VBar;Guardea;Via Vittorio Emanuele, 143;0744 903220;05:30 - 22:30;05:30 - 22:00;;05:30 - 22:30;05:30 - 22:30;05:30 - 22:30;05:30 - 22:30
Il Cavallino Di Roberta E Stefano;Guardea;Via Roma, 64;0744 903382;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;06:00 - 00:00;07:00 - 23:00
Pantarei Caffè;Lugnano in Teverina;Via Umberto I, 30;375 643 6239;;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 00:00;06:00 - 00:00;07:00 - 00:00
MEETING LOUNGE CAFE;Montecchio;Via Nogara, 8, Maggiore VI;N/A;06:30 - 02:00;06:30 - 01:30;06:30 - 00:30;06:30 - 00:30;06:30 - 02:00;08:30 - 02:00;
Caffe 'Di Golin Golin Annibale S.N.C.;Montecchio;Via Roma, 33, Maggiore VI;0444 602511;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 00:00;06:30 - 23:00;06:30 - 22:00
Barra's café;Montecchio;123 127, Viale Roma;327 705 1395;05:00 - 13:00, 14:00 - 20:00;05:00 - 13:00, 14:00 - 20:00;05:00 - 13:00, 14:00 - 20:00;;05:00 - 13:00, 14:00 - 20:00;05:00 - 20:00;06:00 - 13:30
Dersut Caffè;Montecchio;Via A. Volta, 3, Maggiore VI;N/A;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;
Different cafe;Montecchio;Via Reverberi A., 40, Emilia RE;340 600 9745;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00
Pitti Caffè;Montecchio;Viale Pietro Ceccato, 77, Maggiore VI;334 161 1731;06:30 - 19:00;06:30 - 19:00;06:30 - 19:00;06:30 - 19:00;06:30 - 19:00;07:00 - 12:00;07:00 - 12:00
Bar Trendy;Montecchio;Piazza G. Carli, 10, Maggiore VI;335 365 873;;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;07:00 - 13:00, 15:00 - 21:00
Gioia caffè;Montecchio;Via Caduti dell'Arma, 3, Emilia RE;0522 172 0004;05:15 - 18:00;05:15 - 18:00;05:15 - 18:00;05:15 - 18:00;05:15 - 18:00;05:30 - 13:00;
Wine & Beer Bar Castei;Montecchio;Via Cal de Guà, 2, Maggiore VI;0444 183 5328;10:00 - 00:00;10:00 - 00:00;10:00 - 00:00;;07:00 - 02:00;10:00 - 02:00;10:00 - 00:00
IQOS PARTNER - Bar Tabaccheria Vezzaro, Montecchio Maggiore;Montecchio;Viale Europa, 71, Maggiore VI;0444 696355;06:00 - 20:00;06:00 - 20:00;06:00 - 14:00;06:00 - 20:00;06:00 - 20:00;06:00 - 13:00, 15:00 - 20:00;07:00 - 13:00
Dejavu;Montecchio;Vle della Stazione, 35, Maggiore VI;349 703 1979;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 23:00;06:00 - 23:00
Snack Bar Snc Di Faccio Marco;Montecchio;Viale Europa, 74, Maggiore VI;0444 698022;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;
Bar All'Incrocio Snc Di Cozza Marialuisa & C.;Montecchio;Via degli Alberi, 1, Maggiore VI;0444 695275;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Chiosco Bar;Montecchio;Via Natta, 2, Paulona VI;348 576 0996;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;06:30 - 14:00;
VALNERINA CAFFE;Montefranco;Via Strada Statale Valnerina, 70;0744 388322;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00
Bar Caffè La Rotonda;Montefranco;Via Strada Statale Valnerina, 56;351 693 4454;06:00 - 16:00;06:00 - 16:00;06:00 - 16:00;06:00 - 16:00;06:00 - 16:00;06:00 - 16:00;04:30 - 20:00
Bar dello Sport2;Montefranco;Via Giacomo Matteotti;339 856 6534;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00
Bar "Dell'Eva", Sali E Tabacchi;Montegabbione;Via Achille Lemmi, 8;N/A;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30
Bar Caffellatte di Stefano Stella;Monteleone d'Orvieto;Via Sandro Pertini, 38;0763 834103;;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00
Caffè d'Italia - Bar Devis;Narni;Piazza Giuseppe Garibaldi, 25;0744 668036;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Caffè Millenium - Bar-Tavola calda;Narni;Via Flaminia Ternana;0744 614696;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 13:00
Bar Tre Ponti;Narni;Province of Terni;N/A;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;07:00 - 13:00
Bar Gelateria La Baita;Narni;Via Tuderte, 80, Scalo TR;0744 198 5092;;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
CaffèZero;Narni;Strada Statale 3 ter;0744 085608;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00
Caffè Montanucci;Orvieto;Corso Cavour, 23;0763 341261;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 02:00;07:00 - 02:00;07:00 - 00:00
Caffè Cavour;Orvieto;Corso Cavour, 74;371 410 6900;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 00:00;07:00 - 02:00;07:00 - 02:00;09:00 - 01:00
Bar - Pasticceria Nando Di Casasole Leonardo;Orvieto;Via Sette Martiri, 68;0763 302013;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00
Bar Obelix;Orvieto;Gabelletta, Province of Terni;0763 344189;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
Bar Da Brozzi;Orvieto;Via del Duomo, 27;349 462 0733;08:30 - 22:30;08:30 - 22:30;08:30 - 22:30;08:30 - 22:30;08:30 - 22:30;08:30 - 22:30;10:30 - 23:00
Bar Duomo;Orvieto;Largo Barzini, 14;0763 342750;09:00 - 02:00;09:00 - 02:00;09:00 - 02:00;09:00 - 02:00;09:00 - 02:00;09:00 - 02:00;09:00 - 02:00
Blue Bar;Orvieto;Via Giuseppe Garibaldi, 23;0763 344150;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 00:00;;
Green Bar di Basili Elena e Lorenzo;Orvieto;Via della Gabelletta, 7/A;0763 530298;;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:30 - 21:00
Amazon Counter - Costanzi Bar;Orvieto;Via Angelo Costanzi, 60, Scalo TR;0763 302811;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 23:58
Colibrì cafè;Orvieto;Piazza Olona, 13;N/A;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;
Please Caffè;Orvieto;Viale 1º Maggio, 33;0763 616238;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;
Caffè TreC;Orvieto;Via degli Eucalipti, 6A, Ciconia TR;0763 530957;06:00 - 20:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 13:00, 16:30 - 00:00
Vincaffé di Galanelli Stefano & C.;Orvieto;Via Filippeschi, 39;0763 340099;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;19:00 - 00:00;19:00 - 00:00
Piano B;Orvieto;Via Angelo Costanzi, 59, Scalo TR;0763 349275;08:00 - 20:00;08:00 - 20:00;08:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00
Bar del Borgo;Orvieto;Piazza Monte Rosa, 55, Scalo TR;339 325 5014;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;06:30 - 13:30;
Caffè Plaza;Orvieto;Via Monte Nibbio, 35, Scalo TR;0763 301997;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00
Time Off;Orvieto;Str. dell'Arcone, 13/O;0763 450412;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;09:00 - 22:30
Bar Serenade;Orvieto;Via Adige, 1, Sferracavallo TR;0763 344358;06:30 - 01:30;06:30 - 01:30;06:30 - 18:30;06:30 - 01:30;06:30 - 01:30;06:30 - 01:30;07:30 - 01:30
Big Bar Di Burattino Ubaldini Siro;Orvieto;Corso Cavour, 272;0763 343059;07:30 - 19:30;07:30 - 19:30;07:30 - 19:30;07:30 - 19:30;07:30 - 19:30;07:30 - 19:30;
Bar Igloo Happy Food;Orvieto;Str. della Stazione, Scalo TR;N/A;ND;ND;ND;ND;ND;ND;ND
Caffè Amus;Orvieto;Via delle Mimose, 14;371 438 4236;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;
Bottega Vèra Orvieto Enoteca con Degustazione;Orvieto;Via del Duomo, 36/38;349 295 5121;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00
Moncicci Caffè;Orvieto;Piazza del Fanello, 20;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Degli Archi di Scaia Elisa;Otricoli;Via Roma, 91;N/A;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
BAR Il Casottino;Otricoli;Via Grotte;327 569 7047;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
SA-LOTTO DEL CAFFE' (TABACCHERIA FUNARI MARINA);Otricoli;Via Roma, 41;0744 719355;07:00 - 13:00, 16:30 - 19:30;07:00 - 13:00, 16:30 - 19:30;07:00 - 13:00, 16:30 - 19:30;07:00 - 13:00, 16:30 - 19:30;07:00 - 13:00, 16:30 - 19:30;07:00 - 13:00, 16:30 - 19:30;
Rossi;Otricoli;Via Del Pozzo, 9;0744 710100;06:00 - 20:00;;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;08:00 - 13:00, 15:00 - 20:00
Bar Graziani Remo;Parrano;Via Osteria, 24;0763 838000;ND;ND;ND;ND;ND;ND;ND
Gecko's bar;Penna in Teverina;Piazza della Libertà, 18;0744 993114;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Baraonda;Porano;Via Nereo Neri, 1;0763 374469;;06:00 - 23:50;06:00 - 23:50;06:00 - 23:50;06:00 - 23:50;06:00 - 23:50;06:00 - 23:50
Bar San.Pa Meeting Coffee;San Gemini;Via Ternana, 1/c;0744 630246;;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 00:00
Caffè Paretti;San Gemini;V. Roma, 54;0744 334167;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Wine Garden;San Gemini;Via G. Mazzini, 22;N/A;06:30 - 02:00;06:30 - 02:00;06:30 - 02:00;06:30 - 02:00;06:30 - 02:00;06:30 - 02:00;06:30 - 00:00
Bar tabacchi Stella;San Gemini;Via Porta Romana, 2D;0744 331549;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 22:00;
Bar La Fonte;San Gemini;Via Tiberina, 6;N/A;06:00 - 21:00;;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00
Caffe Corretto Snc di Militi Sauro e Sciri Francesco;San Venanzo;Viale IV Novembre, 68;075 875325;06:00 - 13:00, 17:00 - 00:00;06:00 - 13:00;06:00 - 13:00, 17:00 - 00:00;06:00 - 13:00, 17:00 - 00:00;06:00 - 13:00, 17:00 - 00:00;06:00 - 13:00, 17:00 - 00:00;06:00 - 13:00, 17:00 - 00:00
Bar Castello;Stroncone;Piazza della Libertà, 1;N/A;;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00
Caffè Terni Di Jin Linyan & C. Snc;Terni;Viale VIII Marzo;347 598 5433;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00
Bar Sorriso;Terni;Viale dello Stadio, 31/33;0744 423252;04:00 - 02:00;04:00 - 02:00;04:00 - 02:00;04:00 - 02:00;04:00 - 02:00;04:00 - 02:00;04:00 - 02:00
Caffè Repubblica;Terni;P.za della Repubblica, 19;389 106 5322;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 02:00;07:30 - 02:00;08:00 - 01:00
myCoffee;Terni;V. Luigi Tenco, 6/A;0744 364680;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
CaffèZero;Terni;Viale Luigi Campofregoso, 48;0744 400342;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
CaffèZero;Terni;Str. di Maratta Bassa, 94E;0744 241561;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00
Tonka;Terni;Viale Cesare Battisti, 3;0744 682865;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00;06:45 - 20:00
Grease Cafè;Terni;Corso Vecchio, 217/A;0744 463218;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;
Caffè Cavour di Vecchione Maurizio;Terni;Via Cavour, 15;0744 198 2578;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 23:30;07:00 - 23:30;
CaffèZero;Terni;Via Romagna, 93/a;0744 087384;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Bar Caffè ACI;Terni;Via Fratelli Rosselli, 15;0744 409236;ND;ND;ND;ND;ND;ND;ND
Caffe Le Roi;Terni;Via di Porta S. Giovanni, 38/A;0744 641818;07:00 - 13:30, 17:00 - 21:00;07:00 - 13:30, 17:00 - 21:00;07:00 - 13:30, 17:00 - 21:00;07:00 - 13:30, 17:00 - 21:00;07:00 - 13:30, 17:00 - 21:00;07:30 - 13:30, 18:00 - 21:30;
Bar roLando Fuoricentro;Terni;Via Mola di Bernardo, 157;0744 274021;;07:30 - 01:00;07:30 - 01:00;07:30 - 01:00;07:30 - 01:00;07:30 - 01:00;07:30 - 01:00
Caffè Maceo;Terni;Viale della Stazione, 15/17;0744 615362;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;
Caffe Garibaldi;Terni;Via Giuseppe Garibaldi, 72;0744 640793;09:00 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;
Moroni;Terni;Viale Gioacchino Rossini, 218;0744 279347;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
al VILLAGLORI;Terni;Largo Villa Glori, 18;331 158 5014;07:30 - 13:00, 16:00 - 22:00;07:30 - 23:30;07:30 - 23:30;07:30 - 23:30;07:30 - 03:30;07:30 - 03:30;08:30 - 00:00
Caffetteria Bar Del Colle;Terni;Piazza Resistenza, 8, Piediluco TR;328 841 2841;08:00 - 20:00;08:00 - 20:00;;08:00 - 20:00;08:00 - 20:00;08:00 - 20:30;08:00 - 20:00
Carletti Il Mondo della Pasticceria;Terni;Via dei Gonzaga, 21;0744 304988;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 00:00;00:00 - 21:00
Nuovo Caffe' Della Torre Di Flavioni Stefano;Terni;Via Roma, 98;0744 407996;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:30 - 14:00
PLOOM STORE-Risto Caffe' S.R.L;Terni;Via W. Lessini, 8;0744 306218;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00
Bar Umbria;Terni;Viale Cesare Battisti, 64;0744 404195;06:00 - 21:44;06:00 - 21:44;06:00 - 21:44;06:00 - 21:44;06:00 - 21:44;06:00 - 21:44;06:00 - 21:44
Caffè Borgo;Terni;Via della Bardesca, 12;0744 180 0021;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;07:00 - 21:00
Bar Flaminio;Terni;Via XX Settembre, 9;N/A;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;
Caffe' 2000;Terni;Via Narni, 246;0744 812503;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 13:00
